Event,mass_1,mass_2,chi_eff,chi_p,SNR,Mean,Normalized Mean,Fraction,J-S Distance
GW190910_112807,$56.54_-6.47^+8.69$,$44.50_-9.24^+7.47$,$-0.00_-0.20^+0.17$,$0.38_-0.30^+0.43$,13.4,2.77,0.21,0.36,0.01
GW190915_235702,$43.05_-6.00^+11.11$,$32.50_-7.95^+5.62$,$-0.03_-0.24^+0.19$,$0.56_-0.40^+0.34$,13,2.02,0.16,0.54,0.01
GW190924_021846,$9.93_-2.17^+5.42$,$5.59_-1.68^+1.44$,$0.03_-0.08^+0.23$,$0.22_-0.17^+0.41$,13,1.66,0.13,0.75,0.09
GW190929_012149,$102.04_-18.97^+24.47$,$41.49_-18.65^+27.32$,$-0.02_-0.28^+0.25$,$0.33_-0.25^+0.49$,10.1,2.31,0.23,0.46,0.01
GW190930_133541,$14.32_-2.79^+13.06$,$8.98_-3.60^+2.04$,$0.15_-0.15^+0.30$,$0.36_-0.26^+0.44$,10.1,1.66,0.16,0.74,nan
GW190403_051519,$191.90_-49.96^+31.86$,$39.79_-20.94^+49.06$,$0.70_-0.29^+0.14$,$0.30_-0.20^+0.34$,8,2.11,0.26,0.55,0.07
GW190426_190642,$177.68_-30.08^+69.93$,$134.08_-58.99^+29.98$,$0.18_-0.40^+0.42$,$0.50_-0.35^+0.37$,9.6,2.49,0.26,0.42,0.01
GW190725_174728,$13.77_-3.16^+9.97$,$7.83_-2.84^+2.18$,$-0.05_-0.14^+0.30$,$0.35_-0.27^+0.44$,9.1,1.03,0.11,0.94,0.02
GW190805_211137,$87.50_-15.52^+23.87$,$59.69_-23.67^+16.16$,$0.37_-0.38^+0.29$,$0.50_-0.32^+0.35$,8.3,1.23,0.15,0.87,0.01
GW190916_200658,$76.53_-20.40^+33.12$,$41.45_-20.43^+23.42$,$0.19_-0.29^+0.32$,$0.37_-0.28^+0.44$,8.2,1.52,0.19,0.77,0.0
GW190917_114630,$11.52_-4.90^+4.72$,$2.29_-0.52^+1.29$,$-0.05_-0.46^+0.26$,$0.18_-0.14^+0.46$,9.5,1.15,0.12,0.89,nan
GW190925_232845,$24.66_-3.32^+8.96$,$18.22_-4.70^+2.82$,$0.07_-0.17^+0.18$,$0.38_-0.29^+0.44$,9.9,1.43,0.14,0.79,nan
GW190926_050336,$63.85_-14.20^+31.12$,$34.47_-15.52^+21.47$,$-0.01_-0.33^+0.28$,$0.40_-0.31^+0.47$,9,1.58,0.18,0.71,0.02
GW191103_012549,$14.03_-2.34^+7.42$,$9.42_-2.85^+1.79$,$0.21_-0.10^+0.16$,$0.40_-0.26^+0.41$,8.9,1.23,0.14,0.86,0.01
GW191105_143521,$13.00_-1.78^+4.54$,$9.36_-2.19^+1.45$,$-0.02_-0.09^+0.13$,$0.30_-0.24^+0.45$,9.7,0.77,0.08,0.99,0.01
GW191109_010717,$81.16_-8.89^+12.89$,$59.72_-17.43^+15.58$,$-0.29_-0.31^+0.42$,$0.63_-0.37^+0.29$,17.3,6.69,0.39,0.07,0.06
GW191113_071753,$36.10_-16.18^+14.71$,$7.31_-1.57^+6.49$,$0.00_-0.29^+0.37$,$0.20_-0.16^+0.54$,7.9,1.71,0.22,0.66,0.03
GW191126_115259,$15.71_-2.51^+7.24$,$10.75_-2.98^+1.94$,$0.21_-0.11^+0.15$,$0.39_-0.26^+0.40$,8.3,1.09,0.13,0.9,0.01
GW191127_050227,$86.41_-37.31^+60.12$,$38.45_-25.26^+31.09$,$0.18_-0.36^+0.34$,$0.52_-0.41^+0.41$,9.2,2.07,0.23,0.55,0.06
